pais,año,valor,indicador,codigo,url_origen,fecha_descarga
Colombia,2024,174.094289675393,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2023,166.980107777443,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2022,156.195161137443,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2021,146.627837254516,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2020,133.661019178018,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2019,132.810761644655,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2018,131.595473810882,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2017,129.272014227481,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2016,123.709953422515,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2024,116.486713265167,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
