periodo,valor,codigo,url_origen,fecha_descarga,hash_respuesta,indicador
Oct.2020,1.72400036113651,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Nov.2020,2.14220969430481,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Dic.2020,1.97323222946074,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Ene.2021,2.67554538350913,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Feb.2021,2.4013422122209,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Mar.2021,2.59818523324116,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Abr.2021,2.38369772363027,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
May.2021,2.44745902560864,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Jun.2021,3.25460667105263,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Jul.2021,3.81459906516264,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Ago.2021,4.95280459648037,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Sep.2021,5.22957455422953,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Oct.2021,5.82600992647617,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Nov.2021,5.65514784662318,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Dic.2021,6.43038716340725,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Ene.2022,5.68491659367423,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Feb.2022,6.1470442223465,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Mar.2022,6.82408900736014,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
